system	repo_root	relative_path	material_family	bytes	sha256	git_head	git_state	authority_class	reuse_scope	modern_finance_contamination	source_rights_status	v3_overlap	notes
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	README.md	(root)	7159	ffb834d165a59a1b21456ffa2623c79b3dec5bb30972ac060da744b284638b3c	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	superseded	ineligible	unclear	clear_pointer	sha256:README.md; relative_path:README.md	v3 duplicate candidate; do not migrate in Phase 0
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_seooh50_mining_brief.md	(root)	7527	7656896ee4b87cb80dc4aa10c2709a8284f687df74433476f902f469273755ab	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	methodology	ineligible	unclear	clear_pointer	none	index, template, brief, or dispatch methodology
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/_campaign/seooh50_PLAN.md	_synthesis	7300	23aa6d34067365aadbf0591e2840ec06080f8a420d660df39c17d9784e0801b5	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	model_run	ineligible	no	clear_pointer	none	model output, campaign artifact, or execution log
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/_campaign/seooh50_progress.md	_synthesis	2876	91e627fb8ad44479b0b19ce1f4092cc92f3876d43206dda58dacedeeea2839e3	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	model_run	ineligible	no	clear_pointer	none	model output, campaign artifact, or execution log
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/fundamental_improvement_campaign_20260614.md	_synthesis	11724	0cbe5b72af836658d423e7c9db9db0e51d57eeee588c689c0703350f19045b43	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	none	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/geuldobi_legacy_extraction_20260614.md	_synthesis	4767	8aaa67dd3236be98d4d27b26aca535704ff3b7598dedc21b60ff0001adaca803	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	none	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/kdh/geumsujeo_saenghwal.md	_synthesis	11202	fae7c5542ad81e71ed82a57032f243691b8dd3e58de3774a4053c0f9041c603d	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	clear_pointer	name:block/evidence/kdh/geumsujeo_saenghwal.md,character/evidence/kdh/geumsujeo_saenghwal.md,esm/evidence/kdh/geumsujeo_saenghwal.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/kdh/geumsujeo_tuja.md	_synthesis	13656	2ef773db92ef1eebeb5948f9c3bc002aa23bf2eea955351caef449fff0e61de7	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	yes	clear_pointer	name:block/evidence/kdh/geumsujeo_tuja.md,character/evidence/kdh/geumsujeo_tuja.md,esm/evidence/kdh/geumsujeo_tuja.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/kdh/seonggongsidae.md	_synthesis	8414	a9b642133a5702df170b670d70df918e9e8bec9e04c3bd078932966dcdf4d7c4	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	clear_pointer	name:block/evidence/kdh/seonggongsidae.md,character/evidence/kdh/seonggongsidae.md,esm/evidence/kdh/seonggongsidae.md	observation or comparison support, not a promoted card
v2	/Users/a2501/Desktop/ff_studio_v2/edge_repos/ff_foundry	_synthesis/m1_payoff_5laws.md	_synthesis	6196	666fa2243c0a427a3f182e553aeb51992530a79087a9e04f49dbd64f94a9c87e	a4cbcb57d85da16dc86a645ae286f65a577b963b	tracked	evidence	ineligible	unclear	unclear	none	observation or comparison support, not a promoted card
