source_code	work_title	creator	source_path	source_sha256	episode_or_line_scope	sample_role	observed_functions	texture_notes	limitations
P1	레벨 업! 하는 식당	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/레벨 업! 하는 식당(1~266화)_인기영_합본.txt	de47eee671a7e631193289d860c3217c8a03ef0f3477c04bfef32d038e8a9d02	프롤로그 L1-84; Restaurant 1 L85-308; Restaurant 2 L309-473	opening	폐업 위기 분식 장사와 시스템 진입을 결합해 요리-생계의 첫 클릭을 만든다	겨울 추위, 리어카, 국물과 철판의 소리로 생활 결핍을 먼저 만진다	시스템 진입 뒤 능력 보상이 빠르게 주인공 편으로 기울어 이후 실패 압력이 약해질 수 있다
P1	레벨 업! 하는 식당	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/레벨 업! 하는 식당(1~266화)_인기영_합본.txt	de47eee671a7e631193289d860c3217c8a03ef0f3477c04bfef32d038e8a9d02	Restaurant 8 L1382-1578; 9 L1579-1742; 16-22 L2564-3744	first_payoff	매진, 첫 단골, 새 식구, 재오픈을 작은 성공의 연속 결산으로 바꾼다	한 입 뒤 표정과 젓가락 속도, 빈 그릇, 재방문을 짧게 이어 붙인다	손님 감탄의 방향과 어휘가 누적되면 보상 체감이 평준화된다
P1	레벨 업! 하는 식당	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/레벨 업! 하는 식당(1~266화)_인기영_합본.txt	de47eee671a7e631193289d860c3217c8a03ef0f3477c04bfef32d038e8a9d02	Restaurant 31-33 L5532-6220; 54 L10639-10841; 67-68 L13454-13838	repeat_engine	단골 포인트, 메뉴 개선, 방송, 동업으로 조리 성과를 운영 확장과 연결한다	김치, 떡볶이 같은 친숙한 음식에 기술 이유를 덧붙여 이해 가능한 쾌감을 만든다	포인트와 신뢰가 대체로 즉시 보답해 선택의 비가역 비용이 희미해진다
P1	레벨 업! 하는 식당	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/레벨 업! 하는 식당(1~266화)_인기영_합본.txt	de47eee671a7e631193289d860c3217c8a03ef0f3477c04bfef32d038e8a9d02	Restaurant 128-130 L25215-25771; 150-160 L29259-31331	midseries	감각 능력, 점포 소유, 교육, 코스와 광고를 사업 성장의 다음 단으로 쓴다	짧은 서비스 장면 사이에 매출, 손님, 직원 반응을 교차해 속도를 유지한다	방송·광고·다점포가 한꺼번에 커지며 한 식당-한 손님의 밀도가 옅어진다
P1	레벨 업! 하는 식당	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/레벨 업! 하는 식당(1~266화)_인기영_합본.txt	de47eee671a7e631193289d860c3217c8a03ef0f3477c04bfef32d038e8a9d02	Restaurant 243-250 L46247-47668; 261-266 L49481-50590; 298-320 L56164-60040	late_or_close	상품화와 완판 뒤 가족 기억, 스승 배신, 애도와 새 시작으로 장기 결핍을 정산한다	잔반 활용과 가정식이 거대한 성공 뒤 생활감 있는 감정 귀환점이 된다	후반의 대결과 반전은 초반 장사물의 단순한 친밀감을 일부 대체한다
P2	이 요리사는 계속 회귀합니다	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/이 요리사는 계속 회귀합니다_인기영_합본.txt	f639372363f86072b9c68c8a334523ddbd983e504d684361c39556835f8b42cc	프롤로그 L1-195; Dish 1 L196-340; Dish 3 L517-730	opening	노역장 생존과 음식 결핍을 붙여 한 끼를 즉각적 생존 보상으로 만든다	습기, 땀, 타격음의 폐쇄적 감각 위에 음식의 온기와 냄새를 대조한다	초반의 잔혹한 물리 규칙이 후반 초월 서사에서도 같은 압력으로 남는지는 표본 한계가 있다
P2	이 요리사는 계속 회귀합니다	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/이 요리사는 계속 회귀합니다_인기영_합본.txt	f639372363f86072b9c68c8a334523ddbd983e504d684361c39556835f8b42cc	Dish 13 L2482-2647; Dish 15 L2836-3029	first_payoff	메뉴와 개인 물건 접촉의 회귀 규칙을 결합해 첫 구조 전복을 보상한다	조리 장면이 생존의 구체성에서 관계 교섭의 계기가 되는 전환이 뚜렷하다	회귀 규칙 자체는 이 작품의 고유 세계관 표면이다
P2	이 요리사는 계속 회귀합니다	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/이 요리사는 계속 회귀합니다_인기영_합본.txt	f639372363f86072b9c68c8a334523ddbd983e504d684361c39556835f8b42cc	Dish 55 L10374-10619; 65 L12262-12428; 94 L17567-17750	repeat_engine	한 끼-교환-관계 형성-능력 또는 계급 변화-다음 층의 문제라는 루프를 공간 변화에도 유지한다	음울한 세계의 거친 노동 감각과 식사의 휴식이 강한 대비를 만든다	관계 회복이 반복될 때 각 인물 갈등의 해결값이 균질해질 위험이 있다
P2	이 요리사는 계속 회귀합니다	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/이 요리사는 계속 회귀합니다_인기영_합본.txt	f639372363f86072b9c68c8a334523ddbd983e504d684361c39556835f8b42cc	Dish 110 L20711-20947; 127 L24251-24475; 169 L32512-32703; 181 L34806-35029	midseries	식당과 찜질방 운영을 공동체 재건과 상층 구조 침투의 거점으로 확장한다	메뉴 제목과 공간의 변화가 회차 구분을 빠르게 읽히게 한다	음식보다 대규모 인맥과 미스터리가 앞서면 요리 엔진의 비중이 흔들린다
P2	이 요리사는 계속 회귀합니다	인기영	/Users/a2501/Desktop/v3_firefly_studio/.hermes/source-cache/drive/이 요리사는 계속 회귀합니다_인기영_합본.txt	f639372363f86072b9c68c8a334523ddbd983e504d684361c39556835f8b42cc	Dish 200 L38546-38722; 215 L41359-41508; 223 L42827-42985; 에필로그 L42986-43188	late_or_close	신화적 결전을 관계망의 한 상과 일상식으로 회수해 먹이는 사람의 테마를 닫는다	마지막 식탁은 생존 공포를 생활의 온도로 되돌리는 완충 역할을 한다	초월 적대와 대규모 해결이 커진 구간은 초반의 음식 결핍보다 장르 전쟁이 앞선다
